,TRAVEL_ID,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,VISIT_AREA_NM,VISIT_AREA_TYPE_CD,total_score
372,a_a001971,0,20,3,1,1,3,서울어린이대공원 동물원,6,15.0
377,a_a001971,0,20,3,1,1,3,광장시장,4,15.0
379,a_a014786,1,30,1,1,1,1,벽초지수목원,1,13.0
383,b_b005303,0,20,1,1,1,1,방화수류정,7,11.0
384,b_b005303,0,20,1,1,1,1,화성행궁,2,11.0
388,a_a005012,0,20,3,3,1,3,창덕궁,2,12.0
389,a_a005012,0,20,3,3,1,3,대한민국역사박물관,2,11.0
391,a_a005012,0,20,3,3,1,3,서울공예박물관,2,11.0
392,a_a005012,0,20,3,3,1,3,서대문형무소역사관,2,11.0
399,a_a005012,0,20,3,3,1,3,인사동 문화의거리,4,11.0
402,a_a005012,0,20,3,3,1,3,광장시장,4,9.0
408,a_a002290,1,30,1,2,1,2,제일평화시장,4,7.0
420,a_a002290,1,30,1,2,1,2,대한민국역사박물관,2,12.0
421,a_a002290,1,30,1,2,1,2,창경궁,2,12.0
425,a_a001448,1,20,1,1,1,1,남산공원 N서울타워,1,15.0
426,a_a001448,1,20,1,1,1,1,현대백화점 압구정본점,4,15.0
433,a_a001448,1,20,1,1,1,1,남산케이블카,6,12.0
469,a_a007595,0,30,3,1,1,1,남산서울타워,1,15.0
470,a_a000014,0,50,1,1,3,1,코스트코 일산점,4,11.0
471,a_a000014,0,50,1,1,3,1,용문사,2,10.0
474,a_a018116,0,60,1,2,1,1,실학박물관,2,11.0
476,a_a018116,0,60,1,2,1,1,다산생태공원,1,13.0
484,a_a002237,1,20,1,1,3,1,세운전자상가,4,15.0
492,a_a002237,1,20,1,1,3,1,남산공원 N서울타워,1,15.0
493,a_a001333,0,20,1,1,1,2,롯데월드타워&롯데월드몰,6,15.0
513,a_a000510,0,30,2,1,1,1,월미테마파크,6,12.0
514,a_a000510,0,30,2,1,1,1,송도센트럴파크,7,15.0
519,a_a000510,0,30,2,1,1,1,솔찬공원,1,12.0
524,a_a000510,0,30,2,1,1,1,인천차이나타운,4,12.0
527,a_a006668,1,30,2,3,1,3,파주프리미엄아울렛,4,14.0
536,a_a006197,1,30,1,3,1,1,미리내성지,2,13.0
544,a_a000080,0,20,3,1,2,1,덕수궁돌담길,2,13.0
545,a_a000080,0,20,3,1,2,1,하이커그라운드,3,12.0
547,a_a000080,0,20,3,1,2,1,스타필드 고양,4,11.0
550,a_a000080,0,20,3,1,2,1,현대백화점 무역센터점,4,12.0
587,a_a017831,1,20,1,1,1,1,인천차이나타운,4,15.0
591,a_a006565,0,30,1,1,2,1,마켓가든,7,15.0
594,a_a000413,0,20,2,1,1,2,더현대서울,4,15.0
600,a_a000413,0,20,2,1,1,2,북촌한옥마을,7,12.0
604,a_a000413,0,20,2,1,1,2,무신사 스탠다드 강남,4,15.0
605,a_a000413,0,20,2,1,1,2,천주교서울대교구 주교좌 명동대성당,2,11.0
612,a_a008359,0,40,1,1,1,3,더현대서울,4,12.0
615,a_a008359,0,40,1,1,1,3,경복궁,2,12.0
616,a_a008359,0,40,1,1,1,3,북촌한옥마을,7,12.0
620,a_a008359,0,40,1,1,1,3,망원시장,4,11.0
629,a_a014948,1,20,1,3,1,3,청와대 본관,2,14.0
635,a_a014948,1,20,1,3,1,3,더현대서울,4,15.0
648,a_a003757,1,30,2,1,1,2,경복궁,2,15.0
664,a_a000877,1,40,1,1,3,1,봉은사,2,15.0
676,a_a006141,1,50,3,3,3,1,에버랜드,6,15.0
713,d_d012476,1,40,2,2,2,2,일산호수공원,1,12.0
723,a_a002458,0,50,1,1,1,1,남산공원 N서울타워,1,9.0
734,a_a006166,1,30,1,1,2,1,인천아트플랫폼,3,9.0
741,a_a006166,1,30,1,1,2,1,인천차이나타운,4,12.0
743,a_a002270,1,20,1,2,1,1,화성융릉과건릉,2,15.0
744,a_a002270,1,20,1,2,1,1,화성종합경기타운,8,12.0
747,a_a000485,1,30,2,1,2,3,송도센트럴파크,1,15.0
755,a_a000485,1,30,2,1,2,3,신포국제시장,4,6.0
756,a_a000485,1,30,2,1,2,3,인천도시역사관,2,15.0
760,a_a000485,1,30,2,1,2,3,현대프리미엄아울렛 송도점,4,12.0
761,a_a000485,1,30,2,1,2,3,인천차이나타운,4,12.0
767,a_a002737,0,50,1,1,1,2,나리공원,1,14.0
770,a_a002737,0,50,1,1,1,2,의정부부대찌개거리,4,15.0
774,a_a008194,0,20,1,1,1,1,에버랜드,6,14.0
779,a_a001305,0,30,1,2,1,3,신세계프리미엄아울렛 여주,4,15.0
789,a_a009555,0,30,1,1,1,1,율곡수목원,1,15.0
797,a_a000207,0,50,2,2,3,1,신세계프리미엄아울렛 여주,4,15.0
801,a_a000207,0,50,2,2,3,1,여주농촌테마공원 본관,6,4.0
806,a_a009815,1,30,3,1,1,3,인천차이나타운,4,13.0
828,a_a004335,0,40,2,1,1,1,북악팔각정,7,9.0
830,a_a004335,0,40,2,1,1,1,인사동 문화의거리,4,15.0
832,a_a004335,0,40,2,1,1,1,경복궁,2,15.0
837,a_a002587,1,30,2,2,1,1,수원화성박물관,2,12.0
840,a_a002587,1,30,2,2,1,1,화성행궁,2,9.0
861,a_a010181,0,20,3,1,3,2,경복궁,2,15.0
868,a_a010181,0,20,3,1,3,2,노들섬,1,15.0
869,a_a010181,0,20,3,1,3,2,남산서울타워,1,15.0
882,a_a000635,1,30,2,1,2,1,갤러리아백화점 EAST점,4,13.0
891,a_a010009,1,30,2,1,3,2,경복궁,2,15.0
892,a_a010009,1,30,2,1,3,2,쌈지길,4,10.0
893,a_a010009,1,30,2,1,3,2,광장시장,4,12.0
898,a_a010009,1,30,2,1,3,2,상촌재,2,13.0
899,a_a010009,1,30,2,1,3,2,국립고궁박물관,2,15.0
907,a_a001605,1,20,1,1,2,2,더현대서울,4,12.0
919,a_a001605,1,20,1,1,2,2,반포한강공원,1,13.0
924,a_a005347,1,30,1,1,1,1,올림픽공원,1,12.0
927,a_a001983,1,40,1,2,1,3,경복궁,2,12.0
929,a_a001983,1,40,1,2,1,3,국립고궁박물관,2,9.0
950,a_a002096,0,30,1,1,1,2,파주프리미엄아울렛,4,14.0
956,a_a002096,0,30,1,1,1,2,벽초지수목원,1,11.0
961,a_a007380,1,30,1,1,2,1,안성팜랜드,6,15.0
971,a_a004807,0,30,1,1,1,1,화담숲,1,15.0
986,a_a000276,1,30,1,1,1,3,남산공원 N서울타워,1,10.0
990,a_a000276,1,30,1,1,1,3,남산케이블카,6,15.0
992,a_a017884,1,20,2,3,1,2,인천차이나타운,4,12.0
997,a_a017884,1,20,2,3,1,2,인천차이나타운,4,10.0
999,a_a004526,0,20,1,3,1,1,벽초지수목원,1,15.0
1003,a_a004526,0,20,1,3,1,1,미메시스아트뮤지엄,3,11.0
1007,a_a004526,0,20,1,3,1,1,임진각 평화누리,6,15.0
1011,a_a002239,0,20,3,1,3,1,남산공원 N서울타워,1,15.0
1012,a_a002099,1,30,2,3,3,1,아트원씨어터 1관,3,12.0
1013,a_a002099,1,30,2,3,3,1,마로니에공원,1,11.0
1032,b_b012272,1,60,1,1,2,1,선유도공원,1,15.0
1039,a_a006620,1,40,2,2,1,3,물의정원,7,15.0
1048,a_a008702,0,30,1,1,1,3,석촌호수 서호,1,15.0
1060,a_a007953,0,30,1,2,3,3,호계체육관,5,15.0
1081,a_a006133,0,40,1,1,3,2,덕평공룡수목원,1,15.0
1088,a_a004963,1,30,1,2,1,1,송도센트럴파크,7,12.0
1093,a_a017950,0,30,2,2,3,2,롯데프리미엄아울렛 파주점,4,12.0
1095,a_a017950,0,30,2,2,3,2,파주프리미엄아울렛,4,12.0
1102,a_a011423,0,20,2,1,1,3,더현대서울,4,15.0
1108,a_a012275,1,20,1,3,2,3,인천대공원,1,13.0
1114,a_a012275,1,20,1,3,2,3,부평문화의거리,4,12.0
1116,a_a015745,1,60,2,1,1,1,수도국산 달동네박물관,2,15.0
1119,a_a015745,1,60,2,1,1,1,부평문화의거리,4,10.0
1123,a_a015745,1,60,2,1,1,1,송도한옥마을,7,15.0
1126,a_a015745,1,60,2,1,1,1,신포국제시장,4,12.0
1132,a_a015745,1,60,2,1,1,1,송도센트럴파크,7,15.0
1133,a_a015745,1,60,2,1,1,1,송도센트럴파크,7,15.0
1136,a_a013738,1,40,1,1,1,1,스타필드시티 부천,4,10.0
1139,a_a007960,0,20,2,1,1,1,빈티지패션팩토리 용인본점,4,7.0
1157,a_a002971,0,20,1,3,1,3,LCDC서울,4,8.0
1159,a_a001998,0,20,2,1,1,1,수원화성,2,12.0
1163,a_a001998,0,20,2,1,1,1,화성행궁,2,11.0
1182,a_a002054,1,20,1,1,2,1,포천아트밸리,1,12.0
1191,a_a007653,1,20,1,1,1,1,서울대공원,1,14.0
1196,a_a007106,0,30,2,3,2,2,현대프리미엄아울렛 송도점,4,12.0
1199,a_a007106,0,30,2,3,2,2,송도센트럴공원 꽃사슴정원,1,15.0
1205,a_a010574,1,30,2,3,2,1,롯데백화점 평촌점,4,12.0
1216,a_a002740,1,40,2,3,3,2,경복궁,2,15.0
1217,a_a014688,0,20,3,1,1,1,마이랜드,6,15.0
1220,a_a014688,0,20,3,1,1,1,인천차이나타운,4,15.0
1238,a_a009683,0,20,1,1,1,2,남산공원 N서울타워,1,15.0
1243,a_a009683,0,20,1,1,1,2,광장시장,4,15.0
1253,a_a006412,1,30,3,1,1,1,송도센트럴파크,7,10.0
1257,a_a011241,1,40,1,1,1,2,고양어린이박물관,2,15.0
1259,a_a011241,1,40,1,1,1,2,진관사,2,15.0
1268,a_a006279,1,30,1,1,1,2,커먼그라운드,4,12.0
1270,a_a006279,1,30,1,1,1,2,서울숲,1,15.0
1274,a_a005399,1,30,2,1,1,1,경춘선숲길갤러리,7,15.0
1281,a_a005399,1,30,2,1,1,1,난지한강공원,1,15.0
1292,a_a004541,1,20,2,1,1,3,플레이인 더박스 건대점,4,11.0
1296,a_a002286,1,30,2,1,2,1,일산호수공원,1,15.0
1300,a_a002286,1,30,2,1,2,1,스타필드 고양,4,11.0
1326,a_a006351,0,20,1,3,1,2,나리공원,1,14.0
1333,a_a000087,0,50,2,1,1,1,마로니에공원,1,15.0
1336,a_a000341,1,20,3,1,1,1,롯데백화점 영등포점,4,15.0
1365,a_a005258,0,30,2,1,3,1,남한산성,2,14.0
1371,a_a007643,0,30,1,1,1,1,못골종합시장,4,8.0
1376,a_a007643,0,30,1,1,1,1,안양예술공원,1,10.0
1396,a_a002662,1,50,1,1,1,1,칠궁,2,11.0
1412,a_a002726,1,20,2,3,1,1,망원시장,4,10.0
1416,a_a017805,1,30,1,1,3,3,엘리펀트플라잉,4,15.0
1425,a_a001541,0,50,1,1,1,2,포천아트밸리,6,14.0
1428,a_a001541,0,50,1,1,1,2,평강랜드,6,15.0
1430,a_a004309,0,40,1,1,1,2,남한산성,2,13.0
1433,a_a004309,0,40,1,1,1,2,신해철작업실,3,11.0
1437,a_a004683,0,40,1,1,1,3,화성행궁,2,10.0
1474,a_a006463,0,40,1,3,2,2,덕암사,2,13.0
1480,a_a010431,0,30,2,3,1,3,현대모터스튜디오 서울,3,14.0
1483,a_a010431,0,30,2,3,1,3,문화역서울284,2,15.0
1486,a_a010431,0,30,2,3,1,3,덕수궁,2,15.0
1487,a_a010431,0,30,2,3,1,3,서울역사박물관,2,15.0
1493,a_a000682,1,20,2,1,1,1,올림픽공원,1,13.0
1519,a_a005568,0,30,1,3,1,1,대학로예술극장,3,13.0
1521,a_a005568,0,30,1,3,1,1,창경궁,2,15.0
1530,a_a000483,1,30,2,3,1,1,신세계센트럴시티,4,11.0
1531,a_a000483,1,30,2,3,1,1,예술의전당,3,15.0
1545,a_a002260,1,30,1,1,1,1,석촌호수 서호,1,15.0
1549,a_a002260,1,30,1,1,1,1,석파정,3,15.0
1561,a_a002260,1,30,1,1,1,1,롯데월드타워&롯데월드몰,4,15.0
1563,a_a006406,1,60,1,2,1,2,소래포구종합어시장,4,12.0
1571,a_a005864,1,20,1,1,1,1,인천대공원,1,14.0
1576,a_a001210,1,40,1,2,2,2,경복궁,2,15.0
1586,a_a001210,1,40,1,2,2,2,세종문화회관,3,12.0
1607,a_a011190,0,30,3,1,1,3,롯데월드타워&롯데월드몰,4,15.0
1616,a_a004930,1,30,1,3,1,2,고양어린이박물관,2,15.0
1618,a_a000019,0,20,3,1,1,2,송도달빛축제공원,8,15.0
1627,a_a000019,0,20,3,1,1,2,송도달빛축제공원,8,14.0
1628,a_a000019,0,20,3,1,1,2,송도달빛축제공원,8,12.0
1645,a_a007002,1,50,1,2,1,2,평강랜드,1,12.0
1650,a_a001794,1,40,1,1,2,1,방화수류정,2,14.0
1653,a_a001794,1,40,1,1,2,1,갤러리아백화점 광교점,4,9.0
1657,a_a002117,0,20,3,1,1,1,인천도시역사관,2,12.0
1662,a_a002117,0,20,3,1,1,1,현대프리미엄아울렛 송도점,4,15.0
1664,a_a001899,1,50,1,1,3,1,흑석시장,4,15.0
1665,a_a001899,1,50,1,1,3,1,달마사,2,15.0
1672,a_a000407,0,30,3,3,1,3,서울숲,3,15.0
1676,a_a000407,0,30,3,3,1,3,에버랜드,6,15.0
1678,a_a000407,0,30,3,3,1,3,남산서울타워,7,15.0
1679,a_a000407,0,30,3,3,1,3,청와대 본관,2,12.0
1686,a_a010533,1,50,1,3,2,2,화성융릉과건릉,2,15.0
1692,a_a006815,1,30,1,1,3,3,의정부제일시장,4,12.0
1698,a_a006700,1,30,1,1,1,3,은평한옥마을,7,14.0
1716,a_a003288,0,20,3,3,3,3,에버랜드,6,12.0
1734,a_a008048,1,40,2,3,1,1,평촌중앙공원,1,13.0
1737,a_a008048,1,40,2,3,1,1,국립현대미술관 과천관,3,15.0
1768,a_a001056,1,30,3,1,1,2,봄날아트홀,3,15.0
1770,a_a001056,1,30,3,1,1,2,서울숲,1,11.0
1780,a_a007035,1,40,1,1,3,1,블루스퀘어,3,12.0
1783,a_a007035,1,40,1,1,3,1,블루스퀘어,3,15.0
1787,a_a008058,0,30,1,1,1,1,율동공원,1,15.0
1791,a_a008058,0,30,1,1,1,1,효자촌 먹자골목(강남면옥),4,12.0
1810,a_a002358,0,30,3,1,3,1,평택남부문예회관 대공연장,3,12.0
1811,a_a002358,0,30,3,1,3,1,석남사,2,14.0
1831,a_a000491,1,30,2,2,2,1,더현대서울,4,15.0
1836,a_a000491,1,30,2,2,2,1,세종문화회관,3,15.0
1843,a_a018205,0,20,2,1,3,1,에이치씨어터,3,4.0
1868,a_a003657,1,20,1,1,2,3,플라잉수원,5,15.0
1878,a_a006309,0,40,1,1,1,2,남산공원 N서울타워,1,12.0
1882,a_a006033,1,40,2,3,1,3,이케아 광명점,4,12.0
1885,a_a005161,1,30,1,3,1,3,에버랜드,6,13.0
1889,a_a012512,1,60,1,2,1,1,에버랜드,6,12.0
1893,a_a000389,0,30,1,1,3,1,현대시티아울렛 동대문점,4,9.0
1899,a_a000389,0,30,1,1,3,1,광장시장,4,10.0
1900,a_a006336,1,40,1,1,3,2,봉선사,2,12.0
1908,a_a006065,0,50,1,2,3,3,신포국제시장,4,12.0
1915,a_a004771,0,40,1,1,3,1,장릉,2,9.0
1926,a_a003621,1,20,3,1,1,1,예그린씨어터,3,15.0
1938,a_a008086,0,30,1,1,3,1,연천전곡리선사유적지,2,15.0
1945,a_a007866,1,30,1,1,1,3,수원화성,2,10.0
1953,a_a012198,1,20,3,3,1,1,신세계백화점 본점,4,15.0
1960,a_a002441,1,30,1,1,1,1,화성행궁,2,10.0
1962,a_a002441,1,30,1,1,1,1,지동시장,4,13.0
1967,a_a002441,1,30,1,1,1,1,화성행궁,2,15.0
1968,a_a002441,1,30,1,1,1,1,팔달문시장,4,11.0
1982,a_a008107,0,20,3,3,1,1,SETEC,3,12.0
1983,a_a008107,0,20,3,3,1,1,청와대 본관,2,11.0
1989,a_a017889,1,50,1,1,1,2,서울특별시 중부공원녹지사업소 서울창포원,7,10.0
1992,a_a017889,1,50,1,1,1,2,마로니에공원,1,15.0
2016,a_a002301,0,30,1,2,1,1,니지모리스튜디오,2,12.0
2022,a_a010948,0,50,1,1,1,2,여주오곡나루축제,8,15.0
2023,a_a010948,0,50,1,1,1,2,여주농촌테마공원 본관,6,15.0
2024,a_a010948,0,50,1,1,1,2,신륵사관광지,2,15.0
2030,b_b009669,0,30,3,1,1,1,오이도선사유적공원,2,14.0
2038,b_b009669,0,30,3,1,1,1,오이도 빨강등대,1,15.0
2049,a_a007280,1,40,1,1,1,3,평화랜드,6,14.0
2051,a_a007280,1,40,1,1,1,3,파주DMZ곤돌라,2,12.0
2064,a_a003212,1,30,2,1,2,1,그라운드시소 성수,3,9.0
2079,a_a006616,1,60,1,1,1,1,필룩스조명박물관,2,15.0
2081,a_a001474,1,30,1,1,1,1,롯데몰 김포공항점,4,15.0
2104,a_a014333,1,30,2,1,3,1,효원공원,1,15.0
2125,a_a002282,0,30,1,1,1,3,충무아트센터 대극장,3,15.0
2130,a_a002282,0,30,1,1,1,3,서울숲,1,12.0
2147,a_a000655,1,20,1,1,1,2,제일평화시장,4,15.0
2152,a_a000655,1,20,1,1,1,2,예래원,6,15.0
2156,a_a000655,1,20,1,1,1,2,창경궁,2,15.0
2158,a_a004862,0,20,1,1,1,1,아쿠아플라넷63,6,9.0
2159,a_a004862,0,20,1,1,1,1,남산서울타워,3,15.0
2160,a_a004862,0,20,1,1,1,1,신세계센트럴시티,4,15.0
2163,a_a004862,0,20,1,1,1,1,롯데백화점 본점,4,10.0
2182,a_a002233,1,30,2,2,2,1,서울어린이대공원 동물원,6,15.0
2188,a_a002233,1,30,2,2,2,1,국립중앙박물관,2,15.0
2189,a_a002233,1,30,2,2,2,1,석촌호수산책길,7,11.0
2192,a_a002233,1,30,2,2,2,1,청와대 본관,2,14.0
2222,a_a004341,1,20,3,1,1,1,롯데백화점 본점,4,15.0
2233,a_a005679,1,40,1,1,1,1,스타필드 하남,4,12.0
2243,a_a003603,0,20,2,1,1,3,화성행궁,2,12.0
2260,a_a005633,0,20,1,1,1,1,통인시장,4,10.0
2264,a_a005633,0,20,1,1,1,1,에이커,4,15.0
2265,a_a005633,0,20,1,1,1,1,홍건익가옥,2,10.0
2273,a_a001337,0,30,2,1,1,2,"동장대,연무장",2,15.0
2279,a_a001337,0,30,2,1,1,2,수원화성박물관,2,15.0
2282,a_a018100,0,30,1,1,1,1,한강중앙공원,1,10.0
2286,a_a018100,0,30,1,1,1,1,킨텍스 제1전시장,3,13.0
2288,a_a004274,1,30,1,1,1,2,일산호수공원,1,15.0
2289,a_a004274,1,30,1,1,1,2,일산호수공원,1,15.0
2294,a_a006548,0,20,1,1,3,1,서순라길 K 주얼리 종로페스티벌,8,13.0
2306,a_a004301,0,30,3,1,1,2,청와대 본관,2,12.0
2309,a_a013755,1,40,3,3,2,1,종묘,2,11.0
2317,a_a001464,1,40,1,3,3,1,렛츠런파크서울,3,12.0
2318,a_a001464,1,40,1,3,3,1,국립과천과학관,3,13.0
2324,a_a000219,1,30,2,1,1,1,곤지암리조트 스파라스파,6,7.0
2325,a_a000219,1,30,2,1,1,1,화담숲,1,15.0
2332,a_a014793,1,40,3,3,3,3,남대문시장,4,12.0
2350,a_a013881,0,20,3,1,1,1,더현대서울,4,15.0
2354,a_a013881,0,20,3,1,1,1,남산서울타워,1,15.0
2370,a_a007403,0,50,1,1,2,2,서오릉,2,12.0
2374,a_a017669,1,30,3,3,3,1,현대백화점 디큐브시티점,4,10.0
2376,a_a017669,1,30,3,3,3,1,무신사스탠다드 홍대,4,15.0
2383,a_a006004,0,50,1,2,1,1,신당동떡볶이타운,4,15.0
2389,a_a007344,0,50,2,1,1,1,광주향교,2,13.0
2401,a_a002612,1,40,1,1,1,1,명동난타극장,3,15.0
2419,a_a018143,1,30,1,3,1,1,롯데월드타워&롯데월드몰,4,15.0
2431,c_c002983,0,40,1,1,1,2,웅진플레이도시,6,12.0
2445,a_a005188,1,40,1,1,1,1,봉은사,2,15.0
2446,a_a005188,1,40,1,1,1,1,강남역지하상가,4,15.0
2447,a_a005188,1,40,1,1,1,1,타임스퀘어,4,15.0
2458,a_a002002,1,20,3,1,2,1,효창공원,1,12.0
2463,a_a005631,0,30,1,1,1,1,전통술박물관산사원 본원,2,13.0
2468,a_a005631,0,30,1,1,1,1,포천아트밸리,2,12.0
2474,a_a001885,1,30,2,2,2,2,북촌한옥마을,7,15.0
2480,a_a001885,1,30,2,2,2,2,운현궁,2,15.0
2487,a_a008173,0,30,1,1,1,3,무궁화동산,6,9.0
2489,a_a008173,0,30,1,1,1,3,그라운드시소 서촌,4,11.0
2501,a_a002940,1,20,1,3,1,3,서울대공원,1,15.0
2502,a_a002940,1,20,1,3,1,3,국립현대미술관 과천관,3,15.0
2512,a_a018009,1,50,1,2,3,1,부천자연생태공원,1,15.0
2522,a_a012289,0,20,1,1,1,1,수원화성,2,13.0
2526,a_a012289,0,20,1,1,1,1,화성행궁,2,13.0
2535,a_a001898,1,30,3,1,2,2,소래역사관,2,5.0
2539,a_a008166,0,60,1,1,1,1,전등사,2,15.0
2541,a_a011577,0,30,3,3,3,1,스타필드 고양,4,15.0
2546,a_a001366,0,20,1,1,1,3,용문사,1,13.0
2559,a_a001366,0,20,1,1,1,3,영녕릉 세종대왕유적지구 세종대왕릉,2,15.0
2569,a_a015272,0,20,1,1,1,1,남산케이블카,6,9.0
2570,a_a015272,0,20,1,1,1,1,신세계백화점 본점,4,12.0
2578,a_a015272,0,20,1,1,1,1,롯데백화점 본점,4,6.0
2580,a_a015272,0,20,1,1,1,1,남대문시장,4,11.0
2583,a_a015406,0,20,1,1,1,1,인천차이나타운,4,12.0
2592,a_a000784,1,20,1,1,1,3,세미원,1,14.0
2602,a_a000430,1,40,1,1,1,2,복골캠프,7,13.0
2616,a_a017866,1,30,2,1,2,1,수원광교박물관,2,9.0
2635,a_a003230,1,20,3,1,1,3,가회동백인제가옥,2,11.0
2643,a_a003230,1,20,3,1,1,3,IFC몰,4,15.0
2647,a_a000975,0,30,2,3,1,1,2001아울렛 천호점,4,13.0
2648,a_a000975,0,30,2,3,1,1,청와대 본관,2,14.0
2654,a_a000975,0,30,2,3,1,1,남대문시장,4,12.0
2672,a_a014724,1,30,3,2,1,1,롯데월드타워&롯데월드몰,4,11.0
2673,a_a014724,1,30,3,2,1,1,석촌호수산책길,7,14.0
2678,a_a007079,1,20,3,1,1,1,수원시립미술관,3,15.0
2679,a_a007079,1,20,3,1,1,1,화성행궁,2,15.0
2686,a_a002760,1,20,1,2,1,3,아침고요수목원,1,15.0
2701,a_a007655,1,40,1,1,1,3,안양예술공원,1,15.0
2704,a_a007655,1,40,1,1,1,3,안양중앙시장,4,11.0
2705,a_a007655,1,40,1,1,1,3,"안양박물관, 김중섭박물관",2,15.0
2717,a_a005678,1,20,1,1,1,1,더현대서울,4,15.0
2722,a_a001764,0,20,3,3,3,1,스타필드 하남,4,15.0
2728,a_a000851,1,40,2,2,2,3,황리단길,4,12.0
2729,a_a000851,1,40,2,2,2,3,동궁과월지,1,13.0
2733,a_a000851,1,40,2,2,2,3,남산케이블카,6,11.0
2765,a_a007078,1,20,3,1,1,3,신포국제시장,4,11.0
2767,a_a007078,1,20,3,1,1,3,인천차이나타운,4,13.0
2770,a_a007078,1,20,3,1,1,3,신포국제시장,4,12.0
2772,a_a008134,0,30,1,1,1,1,현대백화점 판교점,4,15.0
2773,a_a008134,0,30,1,1,1,1,현대백화점 판교점,4,15.0
2804,a_a004269,0,50,3,3,3,1,율곡수목원,1,14.0
2806,a_a004269,0,50,3,3,3,1,문산자유시장,4,9.0
2807,a_a004269,0,50,3,3,3,1,임진각 평화누리,2,12.0
2822,a_a018132,0,30,1,1,1,1,렛츠런파크서울,5,15.0
2826,a_a004205,1,20,1,1,1,1,한국민속촌,6,15.0
2833,a_a004205,1,20,1,1,1,1,수원화성,2,13.0
2836,a_a010370,1,40,2,2,3,1,스타필드 하남,4,14.0
2841,a_a006987,0,20,3,1,1,3,올림픽공원,1,12.0
2842,a_a006987,0,20,3,1,1,3,국립중앙박물관,2,13.0
2854,a_a001440,1,50,1,1,3,3,남산공원,1,5.0
2858,a_a001440,1,50,1,1,3,3,앨리웨이 광교,4,7.0
